year,film,director,is_winner,is_tie
2015,The Revenant,Alejandro G. Iñárritu,false,false
2015,Room,Lenny Abrahamson,false,false
2015,Sicario,Denis Villeneuve,false,false
2015,Star Wars: The Force Awakens,J. J. Abrams,false,false
2016,La La Land,Damien Chazelle,true,false
2016,Arrival,Denis Villeneuve,false,false
2016,Fences,Denzel Washington,false,false
2016,Hacksaw Ridge,Mel Gibson,false,false
2016,Hell or High Water,David Mackenzie,false,false
2016,Lion,Garth Davis,false,false
2016,Loving,Jeff Nichols,false,false
2016,Manchester by the Sea,Kenneth Lonergan,false,false
2016,Moonlight,Barry Jenkins,false,false
2016,Sully,Clint Eastwood,false,false
2017,The Shape of Water,Guillermo del Toro,true,false
2017,The Big Sick,Michael Showalter,false,false
2017,Call Me by Your Name,Luca Guadagnino,false,false
2017,Darkest Hour,Joe Wright,false,false
2017,Dunkirk,Christopher Nolan,false,false
2017,The Florida Project,Sean Baker,false,false
2017,Get Out,Jordan Peele,false,false
2017,Lady Bird,Greta Gerwig,false,false
2017,The Post,Steven Spielberg,false,false
2017,"Three Billboards outside Ebbing, Missouri",Martin McDonagh,false,false
2018,Roma,Alfonso Cuarón,true,false
2018,BlacKkKlansman,Spike Lee,false,false
2018,Black Panther,Ryan Coogler,false,false
2018,The Favourite,Yorgos Lanthimos,false,false
2018,First Man,Damien Chazelle,false,false
2018,Green Book,Peter Farrelly,false,false
2018,If Beale Street Could Talk,Barry Jenkins,false,false
2018,Mary Poppins Returns,Rob Marshall,false,false
2018,A Star Is Born,Bradley Cooper,false,false
2018,Vice,Adam McKay,false,false
2019,Once upon a Time...in Hollywood,Quentin Tarantino,true,false
2019,1917,Sam Mendes,false,false
2019,Ford v Ferrari,James Mangold,false,false
2019,The Irishman,Martin Scorsese,false,false
2019,Jojo Rabbit,Taika Waititi,false,false
2019,Joker,Todd Phillips,false,false
2019,Little Women,Greta Gerwig,false,false
2019,Marriage Story,Noah Baumbach,false,false
2019,Parasite,Bong Joon Ho,false,false
2019,Uncut Gems,Josh Safdie and Benny Safdie,false,false
2020,Nomadland,Chloé Zhao,true,false
2020,Da 5 Bloods,Spike Lee,false,false
2020,Ma Rainey's Black Bottom,George C. Wolfe,false,false
2020,Mank,David Fincher,false,false
2020,Minari,Lee Isaac Chung,false,false
2020,News of the World,Paul Greengrass,false,false
2020,One Night in Miami...,Regina King,false,false
2020,Promising Young Woman,Emerald Fennell,false,false
2020,Sound of Metal,Darius Marder,false,false
2020,The Trial of the Chicago 7,Aaron Sorkin,false,false
2021,The Power of the Dog,Jane Campion,true,false
2021,Belfast,Kenneth Branagh,false,false
2021,CODA,Sian Heder,false,false
2021,Don't Look Up,Adam McKay,false,false
2021,Dune,Denis Villeneuve,false,false
2021,King Richard,Reinaldo Marcus Green,false,false
2021,Licorice Pizza,Paul Thomas Anderson,false,false
2021,Nightmare Alley,Guillermo del Toro,false,false
2021,"tick, tick...BOOM!",Lin-Manuel Miranda,false,false
2021,West Side Story,Steven Spielberg,false,false
2022,Everything Everywhere All at Once,Daniel Kwan and Daniel Scheinert,true,false
2022,Avatar: The Way of Water,James Cameron,false,false
2022,Babylon,Damien Chazelle,false,false
2022,The Banshees of Inisherin,Martin McDonagh,false,false
2022,Elvis,Baz Luhrmann,false,false
2022,The Fabelmans,Steven Spielberg,false,false
2022,Glass Onion: A Knives Out Mystery,Rian Johnson,false,false
2022,RRR,S. S. Rajamouli,false,false
2022,Tár,Todd Field,false,false
2022,Top Gun: Maverick,Joseph Kosinski,false,false
2022,Women Talking,Sarah Polley,false,false
2023,Oppenheimer,Christopher Nolan,true,false
2023,American Fiction,Cord Jefferson,false,false
2023,Barbie,Greta Gerwig,false,false
2023,The Color Purple,Blitz Bazawule,false,false
2023,The Holdovers,Alexander Payne,false,false
2023,Killers of the Flower Moon,Martin Scorsese,false,false
2023,Maestro,Bradley Cooper,false,false
2023,Past Lives,Celine Song,false,false
2023,Poor Things,Yorgos Lanthimos,false,false
2023,Saltburn,Emerald Fennell,false,false
2024,Anora,Sean Baker,true,false
2024,A Complete Unknown,James Mangold,false,false
2024,The Brutalist,Brady Corbet,false,false
2024,Conclave,Edward Berger,false,false
2024,Dune: Part Two,Denis Villeneuve,false,false
2024,Emilia Pérez,Jacques Audiard,false,false
2024,Nickel Boys,RaMell Ross,false,false
2024,Sing Sing,Greg Kwedar,false,false
2024,The Substance,Coralie Fargeat,false,false
2024,Wicked,Jon M. Chu,false,false
2025,One Battle after Another,Paul Thomas Anderson,true,false
2025,Bugonia,Yorgos Lanthimos,false,false
2025,Frankenstein,Guillermo del Toro,false,false
2025,Hamnet,Chloé Zhao,false,false
2025,Jay Kelly,Noah Baumbach,false,false
2025,Marty Supreme,Josh Safdie,false,false
2025,Sentimental Value,Joachim Trier,false,false
2025,Sinners,Ryan Coogler,false,false
2025,Train Dreams,Clint Bentley,false,false
2025,Wicked: For Good,Jon M. Chu,false,false
