year,actress,film,is_winner,is_tie,num_films
2012,Helen Hunt,The Sessions,false,false,1
2013,Jennifer Lawrence,American Hustle,true,false,1
2013,Sally Hawkins,Blue Jasmine,false,false,1
2013,Lupita Nyong'o,12 Years a Slave,false,false,1
2013,Julia Roberts,August: Osage County,false,false,1
2013,Oprah Winfrey,The Butler,false,false,1
2014,Patricia Arquette,Boyhood,true,false,1
2014,Keira Knightley,The Imitation Game,false,false,1
2014,Rene Russo,Nightcrawler,false,false,1
2014,Imelda Staunton,Pride,false,false,1
2014,Emma Stone,Birdman,false,false,1
2015,Kate Winslet,Steve Jobs,true,false,1
2015,Jennifer Jason Leigh,The Hateful Eight,false,false,1
2015,Rooney Mara,Carol,false,false,1
2015,Alicia Vikander,Ex Machina,false,false,1
2015,Julie Walters,Brooklyn,false,false,1
2016,Viola Davis,Fences,true,false,1
2016,Naomie Harris,Moonlight,false,false,1
2016,Nicole Kidman,Lion,false,false,1
2016,Hayley Squires,"I, Daniel Blake",false,false,1
2016,Michelle Williams,Manchester by the Sea,false,false,1
2017,Allison Janney,"I, Tonya",true,false,1
2017,Lesley Manville,Phantom Thread,false,false,1
2017,Laurie Metcalf,Lady Bird,false,false,1
2017,Kristin Scott Thomas,Darkest Hour,false,false,1
2017,Octavia Spencer,The Shape of Water,false,false,1
2018,Rachel Weisz,The Favourite,true,false,1
2018,Amy Adams,Vice,false,false,1
2018,Claire Foy,First Man,false,false,1
2018,Margot Robbie,Mary Queen of Scots,false,false,1
2018,Emma Stone,The Favourite,false,false,1
2019,Laura Dern,Marriage Story,true,false,1
2019,Scarlett Johansson,Jojo Rabbit,false,false,1
2019,Florence Pugh,Little Women,false,false,1
2019,Margot Robbie,Bombshell / Once Upon a Time in Hollywood,false,false,2
2020,Youn Yuh-jung,Minari,true,false,1
2020,Niamh Algar,Calm with Horses,false,false,1
2020,Kosar Ali,Rocks,false,false,1
2020,Maria Bakalova,Borat Subsequent Moviefilm,false,false,1
2020,Dominique Fishback,Judas and the Black Messiah,false,false,1
2020,Ashley Madekwe,County Lines,false,false,1
2021,Ariana DeBose,West Side Story,true,false,1
2021,Caitríona Balfe,Belfast,false,false,1
2021,Jessie Buckley,The Lost Daughter,false,false,1
2021,Ann Dowd,Mass,false,false,1
2021,Aunjanue Ellis-Taylor,King Richard,false,false,1
2021,Ruth Negga,Passing,false,false,1
2022,Kerry Condon,The Banshees of Inisherin,true,false,1
2022,Angela Bassett,Black Panther: Wakanda Forever,false,false,1
2022,Hong Chau,The Whale,false,false,1
2022,Jamie Lee Curtis,Everything Everywhere All at Once,false,false,1
2022,Dolly de Leon,Triangle of Sadness,false,false,1
2022,Carey Mulligan,She Said,false,false,1
2023,Da'Vine Joy Randolph,The Holdovers,true,false,1
2023,Emily Blunt,Oppenheimer,false,false,1
2023,Danielle Brooks,The Color Purple,false,false,1
2023,Claire Foy,All of Us Strangers,false,false,1
2023,Sandra Hüller,The Zone of Interest,false,false,1
2023,Rosamund Pike,Saltburn,false,false,1
2024,Zoe Saldaña,Emilia Pérez,true,false,1
2024,Jamie Lee Curtis,The Last Showgirl,false,false,1
2024,Selena Gomez,Emilia Pérez,false,false,1
2024,Ariana Grande,Wicked,false,false,1
2024,Felicity Jones,The Brutalist,false,false,1
2024,Isabella Rossellini,Conclave,false,false,1
2025,Wunmi Mosaku,Sinners,true,false,1
2025,Odessa A'zion,Marty Supreme,false,false,1
2025,Inga Ibsdotter Lilleaas,Sentimental Value,false,false,1
2025,Carey Mulligan,The Ballad of Wallis Island,false,false,1
2025,Teyana Taylor,One Battle after Another,false,false,1
2025,Emily Watson,Hamnet,false,false,1
